COUNTY_CODE,COUNTY_NAME,STATE_CODE,YEAR,INTENDED_USE,INTENDED_USE_CODE,COVERAGE_LEVEL,COUNTY_BASE_VALUE,PROTECTION_PER_ACRE,SUBSIDY_LEVEL,MAX_ACRE_PERCENT,INSERT_TIMESTAMP,STATE_ABBREVIATION,GRID_ID_ORIGINAL,GRID_ID
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:32:10.905,TX,9128,9128 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:32:44.257,TX,9129,9129 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:33:16.892,TX,9130,9130 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:33:49.653,TX,9131,9131 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:34:21.602,TX,8828,8828 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:34:52.250,TX,8829,8829 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:35:22.324,TX,8830,8830 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,70,15.5,10.85,0.59,0.5,2025-11-25 19:35:52.249,TX,8831,8831 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,75,15.5,11.625,0.59,0.5,2025-11-25 19:36:22.296,TX,9128,9128 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,75,15.5,11.625,0.59,0.5,2025-11-25 19:36:52.168,TX,9129,9129 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,75,15.5,11.625,0.59,0.5,2025-11-25 19:37:22.320,TX,9130,9130 (Kleberg - TX)
273,Kleberg,48,2025,Grazing,007,75,15.5,11.625,0.59,0.5,2025-11-25 19:37:52.506,TX,9131,9131 (Kleberg - TX)
